1,"~は~： thì, là, ở N1は～です là động từ 'to be'", "N1はN2です ＝N1 là N2
~N1はN2が~[mô tả]
Trợ từ [ は] phát âm là [わ] (phát âm khác cách viết)",5

2,"~も~: cũng, đến mức, đến cả",,5

3,"~で~V : tại, ở, vì, bằng, với (khoảng thời gian)","Trợ từ で：
Diễn tả nơi xảy ra
Diễn tả nguyên nhân
Diễn tà phương pháp, phương thức, phương tiện.
Diễn tả sự vật được làm bằng chất liệu / vật liệu gì.
Diễn tả trong một khoảng thời gian",5

4,"~に/ へ V : chỉ hướng, địa điểm, thời điểm","Trợ từ に và へ：
Dùng để chỉ thời điểm 'vào lúc'
Dùng để chỉ địa điểm 'ở, vào'
Dùng để chỉ hướng đến ai
Trợ từ へ phát âm là え (phát âm khác cách viết)",5

5,"～に、～ : vào, vào lúc",,5

6,"～をV: chỉ đối tượng của hành động","Trợ từ 「を」đánh dấu đối tượng tác động của hành động sau đó.
Phát âm của 「を」giống 「お」. 
Chữ 「を」chỉ được dùng làm trợ từ mà không có mặt trong từ vựng nào khác.",5

7,"～とV : làm gì với ai","Trợ từ と 'với (ai)'",5

8,"～にV: cho ～, từ ～","Đối tượng 'cho, nhận, dạy cho, gọi điện cho, ...' thì cũng dùng trợ từ に.

あげます đưa, tặng (cho ai cái gì)
かします cho (ai) mượn (cái gì)
おしえます dạy cho (ai cái gì)
おくります gửi cho (ai cái gì)
でんわをかけます gọi điện thoại cho ...
もらいます nhận (thứ gì từ ai)
ならいます học (gì từ ai)
'nhận từ' cũng có thể dùng trợ từ から thay cho に。",5

9,"～と～: và","N1とN2 = N1 và N2",5

10,"～ が～: nhưng","Nối 2 câu đối lập 'nhưng' hoặc đơn giản là nối hai câu.

Khi bạn 'xin lỗi' để hỏi thăm, nhờ vả cũng dùng が：
しつれいですが
すみませんが",5

11,"～から～まで : từ ～ đến ～","Trợ từ から là 'từ (thời gian, địa điểm).
Trợ từ まで là 'tới, đến (thời gian, địa điểm)'.
から và  まで có thể đi cùng nhau thành cặp hoặc đi riêng",5

12,"あまり～ない : không ～ lắm","Không (tính chất, hành động) lắm",5

13," 全然Vない　Hoàn toàn không ...",,5

14," ～なかなか～ない mãi mà không thể làm gì",,5

15," Vませんか？ Anh/ chị cùng …. với tôi không?",,5

16," ～があります。　Có (tĩnh vật) ở đâu đó","Dùng cho đồ vật, tĩnh vật. Động vật thì dùng います。
Nguyên dạng của あります là ある。",5

17," ～がいます：Có (động vật) ở đâu đó",,5

18," ～数量(number) + 動詞(V)：　chỉ số lượng",,5

19," [time] に～回：　Làm ～ lần trong khoảng thời gian.",,5

20," ～ましょう: chúng ta hãy cùng ～","Rủ rê cùng làm gì.",5

21,"～　ましょうか？～　：Tôi làm ～ hộ cho bạn nhé","Đề nghị làm giúp người khác.",5

22," ～がほしい：　Muốn có ～","Vì là tính từ đuôi い , nên phủ định của 「ほしい」là 「ほしくない」có nghĩa là không muốn.",5

23," Vたい [Tôi] muốn làm gì",,5

24,"PlaceへPurposeをVに行く Đi đến….để làm mục đích gì","Danh từ đặt trước に phải là danh từ chỉ hành động.",5

25,"～てください Hãy (làm gì) (yêu cầu người đối diện làm gì)",,5

26,"Vないてください：　( xin ) đừng / không",,5

27,"Vてもいいです（か）：　Được phép làm gì (không?)",,5

28,"Vてはいけません Không được làm gì","Không được phép V.",5

29,"Vなくてもいいです Không phải, không cần ～ (làm gì)",,5

30,"Vなければなりません Phải làm gì","Nghĩa đen: Không làm gì (Vnakereba) thì không được (narimasen).",5

31,"～ないといけない　Phải (làm gì)",,5

32,"Vなくちゃいけない Không thể không (= phải làm gì)","ちゃ là nói tắt của ては。",5

33," ～だけ:　Chỉ có ～",,5

34,"Phrase1からPhrase2：　Vì ～ nên ～",,5

35,"Vのが～：Danh từ hóa động từ / Thích việc (làm gì)","Đi kèm với mô tả như thích, giỏi, kém, ghét, ...",5

36,"Vのを～：Danh từ hóa động từ",,5

37,"[V/A]のは～ : Danh từ hóa động từ/tính từ",,5

38,"もう～ました： Đã làm gì xong","Nhấn mạnh.",5

39,"まだ～ていません。： Vẫn chưa làm gì","Nhấn mạnh.",5

